,Key,Postal_Code,City,Country,Region,Lat,Lon
0,01009-GT,01009,Ciudad de Guatemala,GT,Americas,14.6328,-90.5199
1,014 01-SK,014 01,Bytča,SK,Europe,49.1874,18.4862
2,014 01-SK,014 01,Bytča,SK,Europe,49.2414,18.5165
3,014 01-SK,014 01,Bytča,SK,Europe,49.2109,18.5241
4,014 01-SK,014 01,Bytča,SK,Europe,49.2138,18.5373
5,014 01-SK,014 01,Bytča,SK,Europe,49.2167,18.5667
6,014 01-SK,014 01,Bytča,SK,Europe,49.2048,18.5655
7,014 01-SK,014 01,Bytča,SK,Europe,49.1912,18.5045
8,014 01-SK,014 01,Bytča,SK,Europe,49.224,18.5588
9,014 01-SK,014 01,Bytča,SK,Europe,49.2341,18.5759
10,01740-FI,01740,Vantaa,FI,Europe,60.2958,24.893
11,02-871-PL,02-871,Warszawa,PL,Europe,52.111,21.0035
12,02021-US,02021,Canton,US,Americas,,
13,1101-SV,1101,SAN SALVADOR,SV,Americas,,
14,21104-HN,21104,SAN PEDRO SULA,HN,Americas,,
15,542 24-CZ,542 24,Svoboda nad Úpou,CZ,Europe,50.6064,15.8256
16,901 01-SK,901 01,Malacky,SK,Europe,48.436,17.0219
17,901 01-SK,901 01,Malacky,SK,Europe,48.4273,17.009
18,901 01-SK,901 01,Malacky,SK,Europe,48.4185,16.9961
19,23210-FI,23210,VEHMAA,FI,Europe,60.6674,21.6572
20,28100-FI,28100,Pori,FI,Europe,61.513,21.7643
21,40320-FI,40320,Jyväskylä,FI,Europe,62.2663,25.7891
22,50170-FI,50170,MIKKELI,FI,Europe,61.7054,27.3032
23,53100-FI,53100,LAPPEENRANTA,FI,Europe,61.0564,28.1938
24,53500-FI,53500,LAPPEENRANTA,FI,Europe,61.0503,28.2375
25,60100-FI,60100,SEINÄJOKI,FI,Europe,62.7823,22.8565
26,60120-FI,60120,SEINÄJOKI,FI,Europe,62.797,22.8585
27,61850-FI,61850,KAUHAJOKI AS,FI,Europe,62.454,22.2534
28,64200-FI,64200,NÄRPIÖ,FI,Europe,62.4735,21.355
29,65100-FI,65100,VAASA,FI,Europe,63.0941,21.6236
30,65380-FI,65380,VAASA,FI,Europe,63.0713,21.7319
31,68600-FI,68600,PIETARSAARI,FI,Europe,63.6747,22.7193
32,70460-FI,70460,KUOPIO,FI,Europe,62.9154,27.7041
33,70700-FI,70700,KUOPIO,FI,Europe,62.8776,27.6231
34,70800-FI,70800,KUOPIO,FI,Europe,62.8454,27.54
35,79100-FI,79100,LEPPÄVIRTA,FI,Europe,62.4909,27.8569
36,80100-FI,80100,JOENSUU,FI,Europe,62.6143,29.7768
37,80140-FI,80140,JOENSUU,FI,Europe,62.6259,29.6873
38,80330-FI,80330,REIJOLA,FI,Europe,62.5387,29.8333
39,86300-FI,86300,OULAINEN,FI,Europe,64.269,24.8232
40,87400-FI,87400,KAJAANI,FI,Europe,64.2152,27.7684
41,88900-FI,88900,KUHMO,FI,Europe,64.1308,29.5444
42,90400-FI,90400,OULU,FI,Europe,64.9943,25.457
43,90620-FI,90620,OULU,FI,Europe,65.045,25.5521
44,94600-FI,94600,KEMI,FI,Europe,65.7517,24.5851
45,95420-FI,95420,TORNIO,FI,Europe,65.8384,24.1862
46,96100-FI,96100,ROVANIEMI,FI,Europe,66.5317,25.6993
47,100048-CN,100048,Pekin,CN,Asia,,
48,141733-RU,141733,Lobnya,RU,Europe,56.0097,37.4819
49,15-197-PL,15-197,Białystok,PL,Europe,53.1487,23.2224
50,163 53-SE,163 53,Spånga,SE,Europe,59.3833,17.9167
51,22310-RS,22310,Simanovci,RS,Europe,44.8739,20.0918
52,26-332-PL,26-332,Sławno,PL,Europe,51.374,20.1925
53,26-332-PL,26-332,Sławno,PL,Europe,51.4428,20.1273
54,26-332-PL,26-332,Sławno,PL,Europe,51.3673,20.1377
55,26-332-PL,26-332,Sławno,PL,Europe,51.3485,20.147
56,26-332-PL,26-332,Sławno,PL,Europe,51.3512,20.109
57,26-332-PL,26-332,Sławno,PL,Europe,51.4198,20.1479
58,26-332-PL,26-332,Sławno,PL,Europe,51.455,20.1722
59,26-332-PL,26-332,Sławno,PL,Europe,51.4471,20.074
60,26-332-PL,26-332,Sławno,PL,Europe,51.3489,20.1747
61,26-332-PL,26-332,Sławno,PL,Europe,51.4321,20.1864
62,26-332-PL,26-332,Sławno,PL,Europe,51.396,20.1505
63,26-332-PL,26-332,Sławno,PL,Europe,51.4367,20.1079
